Tanggal;USD;Ekspor_Total;Ekspor_MIGAS;Ekspor_NON MIGAS;Ekspor_Agriculture;Ekspor_Industry;Ekspor_Mining;Ekspor_Others;Impor_Total;Impor_Consumption Goods;Impor_Raw Material Support;Impor_Capital Goods
01/10/2023;15916,00;44293,42;1370,43;20776,28;373,30;16628,06;5143,57;1,78;18672,91;1818,06;13438,17;3416,68
01/09/2023;15526,00;41493,08;1405,10;19341,45;405,59;15895,32;4444,92;0,70;17341,61;1665,24;12692,84;2983,53
01/08/2023;15239,00;43995,96;1318,79;20679,19;389,65;16837,79;4768,57;1,97;18879,83;2137,65;13341,46;3400,72
01/07/2023;15083,00;41724,44;1226,80;19635,42;377,49;16187,88;4295,10;1,75;19570,34;2091,82;13915,83;3562,69
01/06/2023;15026,00;41202,62;1259,69;19341,62;358,69;15673,38;4568,80;0,44;17150,49;1586,02;12361,85;3202,62
01/05/2023;14969,00;43413,66;1308,61;20398,22;390,65;16011,66;5303,76;0,76;21279,60;2068,54;15306,64;3904,42
01/04/2023;14751,00;38568,15;1258,66;18025,41;292,43;13483,09;5507,96;0,60;15347,61;1398,17;11597,87;2351,57
01/03/2023;15062,00;46831,99;1338,23;22077,77;377,82;16936,38;6101,37;0,42;20588,05;1761,45;15114,16;3712,44
01/02/2023;15274,00;42642,55;1186,51;20134,76;338,01;15751,05;5231,63;0,59;15919,17;1364,09;11791,92;2763,16
01/01/2023;14979,00;44647,68;1487,95;20835,89;374,05;16200,79;5748,49;0,51;18442,93;1596,24;13886,90;2959,79
01/12/2022;15731,00;47565,43;1457,78;22324,94;370,05;16771,15;6639,71;1,80;19863,06;1806,58;14425,88;3630,60
01/11/2022;15737,00;48118,21;1101,92;22957,19;418,74;16889,80;6750,22;0,34;18962,09;1677,19;14069,16;3215,74
01/10/2022;15542,00;49452,58;1286,30;23439,99;475,83;17319,77;6930,22;0,47;19135,35;1750,90;14308,60;3075,85
01/09/2022;15247,00;49529,10;1258,95;23505,60;474,25;17235,32;7052,99;1,99;19808,34;1589,88;14903,19;3315,27
01/08/2022;14875,00;55857,41;1662,88;26265,83;561,40;20214,59;7136,18;16,53;22150,56;1851,27;16757,83;3541,46
01/07/2022;14958,00;50946,84;1287,58;24185,84;386,73;17821,77;7260,92;4,00;21345,03;1648,76;16698,72;2997,55
01/06/2022;14848,00;52282,10;1551,77;24589,28;366,69;18690,46;7081,45;2,45;21003,86;1697,92;16229,61;3076,33
01/05/2022;14544,00;42986,50;1498,06;19995,19;295,42;14623,48;6573,85;0,50;18609,28;1515,43;14658,13;2435,72
01/04/2022;14418,00;54632,48;1466,58;25849,66;392,87;19650,10;7270,59;2,68;19757,45;1698,37;15531,89;2527,19
01/03/2022;14349,00;53173,45;1493,31;25093,42;427,93;19704,55;6453,69;0,55;21962,41;1814,33;17014,85;3133,23
01/02/2022;14371,00;40978,14;1029,58;19459,49;344,30;15845,34;4298,96;0,47;16638,51;1202,65;12831,48;2604,38
01/01/2022;14381,00;38286,34;903,51;18239,66;380,95;15947,07;2814,34;0,81;18211,11;1579,09;13830,72;2801,30
01/12/2021;14269,00;44715,44;1068,01;21289,71;402,23;17273,12;4681,50;0,87;21352,02;2490,52;15625,02;3236,48
01/11/2021;14340,00;45690,72;1339,45;21505,91;428,43;16509,66;5906,54;0,73;19328,19;2001,45;14329,81;2996,93
01/10/2021;14199,00;44181,98;1064,28;21026,71;410,08;16222,10;5455,83;2,98;16293,61;1589,68;12309,67;2394,26
01/09/2021;14307,00;41237,58;934,77;19684,02;398,15;15790,14;4429,60;0,90;16234,15;1789,58;12095,40;2349,17
01/08/2021;14374,00;42886,30;1044,59;20398,56;343,41;16618,81;4480,29;0,64;16678,89;1889,17;12376,29;2413,43
01/07/2021;14491,00;38739,20;978,81;18390,79;306,56;14922,77;4139,66;0,61;15263,12;1627,86;11558,38;2076,88
01/06/2021;14496,00;37095,49;1239,29;17308,46;326,19;14266,42;3954,44;0,69;17218,46;1643,56;13029,26;2545,64
01/05/2021;14310,00;33816,04;940,58;15967,44;243,52;13238,20;3425,72;0,58;14234,82;1405,55;10943,87;1885,40
01/04/2021;14468,00;36948,27;941,72;17532,42;339,27;15008,23;3125,98;0,65;16204,33;1629,59;12380,11;2194,63
01/03/2021;14572,00;36796,83;951,52;17446,90;395,28;14995,95;3006,56;0,62;16787,52;1443,31;12936,33;2407,88
01/02/2021;14229,00;30510,80;860,59;14394,81;310,05;12254,57;2690,16;0,62;13264,97;1240,38;9871,89;2152,70
01/01/2021;14084,00;30600,35;883,81;14416,36;338,82;12101,24;2858,86;1,26;13329,91;1432,20;9924,14;1973,57
01/12/2020;14105,00;33079,11;1018,79;15520,76;433,11;13031,29;3074,63;0,53;14438,38;1716,02;10192,70;2529,66
01/11/2020;14128,00;30516,84;762,25;14496,17;448,03;12162,17;2647,82;0,40;12664,41;1300,90;8928,71;2434,80
01/10/2020;14690,00;28726,88;614,54;13748,90;420,56;11884,92;2057,42;0,54;10786,02;1035,95;7899,92;1850,15
01/09/2020;14918,00;27912,35;667,32;13288,86;414,82;11696,41;1844,34;0,60;11570,10;1120,76;8315,11;2134,23
01/08/2020;14554,00;26110,56;599,58;12455,70;342,28;10833,21;1879,20;0,59;10742,41;1193,85;7754,98;1793,58
01/07/2020;14653,00;27379,80;660,43;13029,47;349,61;11442,41;1897,53;0,35;10464,30;1112,23;7385,20;1966,87
01/06/2020;14302,00;24013,61;567,37;11439,44;281,26;9802,51;1922,86;0,17;10760,32;1408,06;7577,29;1774,97
01/05/2021;14733,00;20905,25;560,90;9891,73;235,60;8431,47;1785,35;0,20;8438,63;934,69;6110,26;1393,68
01/04/2020;15157,00;24319,65;562,08;11597,75;283,85;9864,60;2010,93;0,44;12535,23;1214,98;9357,06;1963,19
01/03/2020;16367,00;28062,58;617,36;13413,94;315,04;11214,15;2501,56;0,53;13352,18;1269,26;10282,02;1800,90
01/02/2020;14234,00;28084,18;805,15;13236,94;299,11;11273,12;2469,54;0,32;11548,10;881,84;8836,93;1829,33
01/01/2020;13662,00;27272,83;815,32;12821,09;295,69;10907,25;2432,98;0,50;14268,72;1467,16;10569,76;2231,80
01/12/2019;13901,00;28857,63;1133,28;13295,53;369,84;11018,62;3039,78;0,58;14506,78;1651,85;10402,95;2451,98
01/11/2019;14102,00;27888,97;1033,73;12910,76;335,04;10748,95;2859,85;0,64;15340,48;1667,81;11167,80;2504,87
01/10/2019;14008,00;29762,91;859,95;14021,50;339,45;11521,65;3019,71;0,65;14759,08;1436,11;10881,07;2441,90
01/09/2019;14174,00;28160,22;803,03;13277,08;356,24;11083,69;2637,69;2,49;14263,45;1407,53;10261,50;2594,42
01/08/2019;14237,00;28523,93;842,84;13419,12;337,86;11394,49;2529,08;0,54;14169,36;1363,84;10329,97;2475,55
01/07/2019;14026,00;30476,84;1400,50;13837,92;314,03;11750,41;3173,38;0,60;15518,48;1465,60;11272,83;2780,05
01/06/2019;14141,00;23526,71;714,13;11049,22;208,55;9175,21;2379,06;0,54;11495,39;1029,77;8736,16;1729,46
01/05/2019;14385,00;29503,79;1054,24;13697,65;316,27;11296,11;3138,97;0,55;14606,66;1553,19;10730,75;2322,72
01/04/2019;14215,00;26136,15;688,11;12379,96;250,79;10050,80;2765,86;0,63;15399,19;1460,22;11570,70;2368,27
01/03/2019;14244,00;28895,58;1077,41;13370,38;269,40;10862,37;3311,28;4,74;13746,63;1169,46;10350,06;2227,11
01/02/2019;14062,00;25577,11;1050,78;11737,78;233,22;9798,45;2753,31;3,57;12465,07;1027,76;9224,29;2213,02
01/01/2019;14072,00;28056,18;1131,26;12896,83;281,69;10478,53;3267,40;0,47;15005,19;1220,90;11427,48;2356,81
01/12/2018;14481,00;28580,18;1706,82;12583,27;296,65;10270,03;3722,76;0,65;15364,99;1467,09;11220,28;2677,62
01/11/2018;14339,00;29703,44;1312,92;13538,80;320,14;10878,75;3652,25;0,58;16901,82;1434,27;12870,49;2597,06
01/10/2018;15227,00;31818,14;1545,32;14363,75;316,27;11800,28;3791,64;0,88;17667,62;1502,66;13410,41;2754,55
01/09/2018;14929,00;29912,68;1320,25;13636,09;316,88;11081,14;3557,46;0,86;14610,06;1325,82;10902,02;2382,22
01/08/2018;14711,00;31730,25;1423,75;14441,37;301,79;11913,51;3649,37;0,46;16818,14;1555,54;12633,28;2629,32
01/07/2018;14413,00;32569,44;1416,51;14868,21;300,32;11941,91;4041,91;0,58;18297,14;1711,97;13704,08;2881,09
